VEHICLEID,YEARID,MAKENAME,MODELNAME,SUBMODELNAME,VEHICLETYPEID,VEHICLETYPENAME,REGIONID,REGIONNAME,Name,hyphen,Slug,Parent,Category slug
105,1998,Suzuki,Sidekick,JX,6,Truck,1,United States,1998 Suzuki Sidekick JX,1998-Suzuki-Sidekick-JX,1998-suzuki-sidekick-jx,1998-Suzuki-Sidekick,1998-suzuki-sidekick
106,1998,Suzuki,Sidekick,JS Sport,6,Truck,1,United States,1998 Suzuki Sidekick JS Sport,1998-Suzuki-Sidekick-JS Sport,1998-suzuki-sidekick-js sport,1998-Suzuki-Sidekick,1998-suzuki-sidekick
107,1998,Suzuki,Sidekick,JX Sport,6,Truck,1,United States,1998 Suzuki Sidekick JX Sport,1998-Suzuki-Sidekick-JX Sport,1998-suzuki-sidekick-jx sport,1998-Suzuki-Sidekick,1998-suzuki-sidekick
108,1998,Suzuki,Sidekick,JLX Sport,6,Truck,1,United States,1998 Suzuki Sidekick JLX Sport,1998-Suzuki-Sidekick-JLX Sport,1998-suzuki-sidekick-jlx sport,1998-Suzuki-Sidekick,1998-suzuki-sidekick
137,1999,Suzuki,Vitara,JS,6,Truck,1,United States,1999 Suzuki Vitara JS,1999-Suzuki-Vitara-JS,1999-suzuki-vitara-js,1999-Suzuki-Vitara,1999-suzuki-vitara
138,1999,Suzuki,Vitara,JS Plus,6,Truck,1,United States,1999 Suzuki Vitara JS Plus,1999-Suzuki-Vitara-JS Plus,1999-suzuki-vitara-js plus,1999-Suzuki-Vitara,1999-suzuki-vitara
139,1999,Suzuki,Vitara,JX,6,Truck,1,United States,1999 Suzuki Vitara JX,1999-Suzuki-Vitara-JX,1999-suzuki-vitara-jx,1999-Suzuki-Vitara,1999-suzuki-vitara
140,1999,Suzuki,Vitara,JX Plus,6,Truck,1,United States,1999 Suzuki Vitara JX Plus,1999-Suzuki-Vitara-JX Plus,1999-suzuki-vitara-jx plus,1999-Suzuki-Vitara,1999-suzuki-vitara
141,2000,Suzuki,Vitara,JS,6,Truck,1,United States,2000 Suzuki Vitara JS,2000-Suzuki-Vitara-JS,2000-suzuki-vitara-js,2000-Suzuki-Vitara,2000-suzuki-vitara
142,2000,Suzuki,Vitara,JLS,6,Truck,1,United States,2000 Suzuki Vitara JLS,2000-Suzuki-Vitara-JLS,2000-suzuki-vitara-jls,2000-Suzuki-Vitara,2000-suzuki-vitara
143,2000,Suzuki,Vitara,JX,6,Truck,1,United States,2000 Suzuki Vitara JX,2000-Suzuki-Vitara-JX,2000-suzuki-vitara-jx,2000-Suzuki-Vitara,2000-suzuki-vitara
144,2000,Suzuki,Vitara,JLX,6,Truck,1,United States,2000 Suzuki Vitara JLX,2000-Suzuki-Vitara-JLX,2000-suzuki-vitara-jlx,2000-Suzuki-Vitara,2000-suzuki-vitara
145,2001,Suzuki,Vitara,JS,6,Truck,1,United States,2001 Suzuki Vitara JS,2001-Suzuki-Vitara-JS,2001-suzuki-vitara-js,2001-Suzuki-Vitara,2001-suzuki-vitara
146,2001,Suzuki,Vitara,JLS,6,Truck,1,United States,2001 Suzuki Vitara JLS,2001-Suzuki-Vitara-JLS,2001-suzuki-vitara-jls,2001-Suzuki-Vitara,2001-suzuki-vitara
147,2001,Suzuki,Vitara,JX,6,Truck,1,United States,2001 Suzuki Vitara JX,2001-Suzuki-Vitara-JX,2001-suzuki-vitara-jx,2001-Suzuki-Vitara,2001-suzuki-vitara
148,2001,Suzuki,Vitara,JLX,6,Truck,1,United States,2001 Suzuki Vitara JLX,2001-Suzuki-Vitara-JLX,2001-suzuki-vitara-jlx,2001-Suzuki-Vitara,2001-suzuki-vitara
149,2002,Suzuki,Vitara,JLS,6,Truck,1,United States,2002 Suzuki Vitara JLS,2002-Suzuki-Vitara-JLS,2002-suzuki-vitara-jls,2002-Suzuki-Vitara,2002-suzuki-vitara
150,2002,Suzuki,Vitara,JLX,6,Truck,1,United States,2002 Suzuki Vitara JLX,2002-Suzuki-Vitara-JLX,2002-suzuki-vitara-jlx,2002-Suzuki-Vitara,2002-suzuki-vitara
151,2003,Suzuki,Vitara,Base,6,Truck,1,United States,2003 Suzuki Vitara Base,2003-Suzuki-Vitara-Base,2003-suzuki-vitara-base,2003-Suzuki-Vitara,2003-suzuki-vitara
152,1998,Suzuki,X-90,SE,6,Truck,1,United States,1998 Suzuki X-90 SE,1998-Suzuki-X-90-SE,1998-suzuki-x-90-se,1998-Suzuki-X-90,1998-suzuki-x-90
153,1996,Suzuki,X-90,Base,6,Truck,1,United States,1996 Suzuki X-90 Base,1996-Suzuki-X-90-Base,1996-suzuki-x-90-base,1996-Suzuki-X-90,1996-suzuki-x-90
154,1997,Suzuki,X-90,Base,6,Truck,1,United States,1997 Suzuki X-90 Base,1997-Suzuki-X-90-Base,1997-suzuki-x-90-base,1997-Suzuki-X-90,1997-suzuki-x-90
155,1998,Suzuki,X-90,Base,6,Truck,1,United States,1998 Suzuki X-90 Base,1998-Suzuki-X-90-Base,1998-suzuki-x-90-base,1998-Suzuki-X-90,1998-suzuki-x-90
156,2002,Suzuki,XL-7,Base,6,Truck,1,United States,2002 Suzuki XL-7 Base,2002-Suzuki-XL-7-Base,2002-suzuki-xl-7-base,2002-Suzuki-XL-7,2002-suzuki-xl-7
157,2002,Suzuki,XL-7,Plus,6,Truck,1,United States,2002 Suzuki XL-7 Plus,2002-Suzuki-XL-7-Plus,2002-suzuki-xl-7-plus,2002-Suzuki-XL-7,2002-suzuki-xl-7
158,2002,Suzuki,XL-7,Touring,6,Truck,1,United States,2002 Suzuki XL-7 Touring,2002-Suzuki-XL-7-Touring,2002-suzuki-xl-7-touring,2002-Suzuki-XL-7,2002-suzuki-xl-7
159,2002,Suzuki,XL-7,Limited,6,Truck,1,United States,2002 Suzuki XL-7 Limited,2002-Suzuki-XL-7-Limited,2002-suzuki-xl-7-limited,2002-Suzuki-XL-7,2002-suzuki-xl-7
160,2003,Suzuki,XL-7,Touring,6,Truck,1,United States,2003 Suzuki XL-7 Touring,2003-Suzuki-XL-7-Touring,2003-suzuki-xl-7-touring,2003-Suzuki-XL-7,2003-suzuki-xl-7
161,2003,Suzuki,XL-7,Limited,6,Truck,1,United States,2003 Suzuki XL-7 Limited,2003-Suzuki-XL-7-Limited,2003-suzuki-xl-7-limited,2003-Suzuki-XL-7,2003-suzuki-xl-7
305,2003,Porsche,Cayenne,S,6,Truck,1,United States,2003 Porsche Cayenne S,2003-Porsche-Cayenne-S,2003-porsche-cayenne-s,2003-Porsche-Cayenne,2003-porsche-cayenne
306,2003,Porsche,Cayenne,Turbo,6,Truck,1,United States,2003 Porsche Cayenne Turbo,2003-Porsche-Cayenne-Turbo,2003-porsche-cayenne-turbo,2003-Porsche-Cayenne,2003-porsche-cayenne
378,2001,Hyundai,Santa Fe,GL,6,Truck,1,United States,2001 Hyundai Santa Fe GL,2001-Hyundai-Santa Fe-GL,2001-hyundai-santa fe-gl,2001-Hyundai-Santa Fe,2001-hyundai-santa fe
386,2001,Hyundai,Santa Fe,GLS,6,Truck,1,United States,2001 Hyundai Santa Fe GLS,2001-Hyundai-Santa Fe-GLS,2001-hyundai-santa fe-gls,2001-Hyundai-Santa Fe,2001-hyundai-santa fe
404,2001,Hyundai,Santa Fe,LX,6,Truck,1,United States,2001 Hyundai Santa Fe LX,2001-Hyundai-Santa Fe-LX,2001-hyundai-santa fe-lx,2001-Hyundai-Santa Fe,2001-hyundai-santa fe
405,2002,Hyundai,Santa Fe,Base,6,Truck,1,United States,2002 Hyundai Santa Fe Base,2002-Hyundai-Santa Fe-Base,2002-hyundai-santa fe-base,2002-Hyundai-Santa Fe,2002-hyundai-santa fe
406,2002,Hyundai,Santa Fe,GLS,6,Truck,1,United States,2002 Hyundai Santa Fe GLS,2002-Hyundai-Santa Fe-GLS,2002-hyundai-santa fe-gls,2002-Hyundai-Santa Fe,2002-hyundai-santa fe
409,2002,Hyundai,Santa Fe,LX,6,Truck,1,United States,2002 Hyundai Santa Fe LX,2002-Hyundai-Santa Fe-LX,2002-hyundai-santa fe-lx,2002-Hyundai-Santa Fe,2002-hyundai-santa fe
410,2003,Hyundai,Santa Fe,Base,6,Truck,1,United States,2003 Hyundai Santa Fe Base,2003-Hyundai-Santa Fe-Base,2003-hyundai-santa fe-base,2003-Hyundai-Santa Fe,2003-hyundai-santa fe
414,2003,Hyundai,Santa Fe,GLS,6,Truck,1,United States,2003 Hyundai Santa Fe GLS,2003-Hyundai-Santa Fe-GLS,2003-hyundai-santa fe-gls,2003-Hyundai-Santa Fe,2003-hyundai-santa fe
415,2003,Hyundai,Santa Fe,LX,6,Truck,1,United States,2003 Hyundai Santa Fe LX,2003-Hyundai-Santa Fe-LX,2003-hyundai-santa fe-lx,2003-Hyundai-Santa Fe,2003-hyundai-santa fe
545,1993,Land Rover,Defender 110,Base,6,Truck,1,United States,1993 Land Rover Defender 110 Base,1993-Land Rover-Defender 110-Base,1993-land rover-defender 110-base,1993-Land Rover-Defender 110,1993-land rover-defender 110
546,1994,Land Rover,Defender 90,Base,6,Truck,1,United States,1994 Land Rover Defender 90 Base,1994-Land Rover-Defender 90-Base,1994-land rover-defender 90-base,1994-Land Rover-Defender 90,1994-land rover-defender 90
547,1995,Land Rover,Defender 90,Base,6,Truck,1,United States,1995 Land Rover Defender 90 Base,1995-Land Rover-Defender 90-Base,1995-land rover-defender 90-base,1995-Land Rover-Defender 90,1995-land rover-defender 90
548,1997,Land Rover,Defender 90,Base,6,Truck,1,United States,1997 Land Rover Defender 90 Base,1997-Land Rover-Defender 90-Base,1997-land rover-defender 90-base,1997-Land Rover-Defender 90,1997-land rover-defender 90
549,1994,Land Rover,Discovery,Base,6,Truck,1,United States,1994 Land Rover Discovery Base,1994-Land Rover-Discovery-Base,1994-land rover-discovery-base,1994-Land Rover-Discovery,1994-land rover-discovery
550,1995,Land Rover,Discovery,Base,6,Truck,1,United States,1995 Land Rover Discovery Base,1995-Land Rover-Discovery-Base,1995-land rover-discovery-base,1995-Land Rover-Discovery,1995-land rover-discovery
555,1999,Land Rover,Discovery,Series II,6,Truck,1,United States,1999 Land Rover Discovery Series II,1999-Land Rover-Discovery-Series II,1999-land rover-discovery-series ii,1999-Land Rover-Discovery,1999-land rover-discovery
556,2000,Land Rover,Discovery,Series II,6,Truck,1,United States,2000 Land Rover Discovery Series II,2000-Land Rover-Discovery-Series II,2000-land rover-discovery-series ii,2000-Land Rover-Discovery,2000-land rover-discovery
557,2001,Land Rover,Discovery,Series II SD,6,Truck,1,United States,2001 Land Rover Discovery Series II SD,2001-Land Rover-Discovery-Series II SD,2001-land rover-discovery-series ii sd,2001-Land Rover-Discovery,2001-land rover-discovery
558,2001,Land Rover,Discovery,Series II SE,6,Truck,1,United States,2001 Land Rover Discovery Series II SE,2001-Land Rover-Discovery-Series II SE,2001-land rover-discovery-series ii se,2001-Land Rover-Discovery,2001-land rover-discovery
